Time Minutes;TC01.SP C;FC03.SP kg/hr;STREAMS("GLPHD-PR").Zn("ETHANE") kmol/kmol;STREAMS("GLPHD-PR").Zn("PENTANE") kmol/kmol
0;166;10648;0.0139689;0.0152698
1;166;10648;0.0139689;0.0152698
2;166;10648;0.0139689;0.0152698
3;166;10648;0.0139689;0.0152698
4;166;10648;0.0139689;0.0152699
5;166;10648;0.0139689;0.0152699
6;166;10648;0.0139689;0.0152699
7;166;10648;0.0139689;0.0152699
8;166;10648;0.0139689;0.01527
9;166;10648;0.0139689;0.01527
10;166;10648;0.0139689;0.01527
11;166;10648;0.0139689;0.01527
12;166;10648;0.0139689;0.0152701
13;166;10648;0.0139689;0.0152701
14;166;10648;0.0139689;0.0152701
15;166;10648;0.0139689;0.0152701
16;166;10648;0.0139689;0.0152701
17;166;10648;0.0139689;0.0152702
18;166;10648;0.0139689;0.0152702
19;166;10648;0.0139689;0.0152702
20;166;10648;0.0139689;0.0152702
21;166;10648;0.0139689;0.0152703
22;166;10648;0.0139689;0.0152703
23;166;10648;0.0139689;0.0152703
24;166;10648;0.0139689;0.0152703
25;166;10648;0.0139689;0.0152704
26;166;10648;0.0139689;0.0152704
27;166;10648;0.0139689;0.0152704
28;166;10648;0.0139689;0.0152704
29;166;10648;0.0139689;0.0152704
30;166;10648;0.0139689;0.0152705
31;166;10648;0.0139689;0.0152705
32;166;10648;0.0139689;0.0152705
33;166;10648;0.0139689;0.0152705
34;166;10648;0.0139689;0.0152706
35;166;10648;0.0139689;0.0152706
36;166;10648;0.0139689;0.0152706
37;166;10648;0.0139689;0.0152706
38;166;10648;0.0139689;0.0152707
39;166;10648;0.0139689;0.0152707
40;166;10648;0.0139689;0.0152707
41;166;10648;0.0139689;0.0152707
42;166;10648;0.0139689;0.0152707
43;166;10648;0.0139689;0.0152708
44;166;10648;0.0139689;0.0152708
45;166;10648;0.0139689;0.0152708
46;166;10648;0.0139689;0.0152708
47;166;10648;0.0139689;0.0152709
48;166;10648;0.0139689;0.0152709
49;166;10648;0.0139689;0.0152709
50;166;10648;0.0139689;0.0152709
51;166;10648;0.0139689;0.0152709
52;166;10648;0.0139689;0.015271
53;171;10648;0.0139689;0.015271
54;171;10648;0.0139258;0.0153611
55;171;10648;0.0137836;0.0156081
56;171;10648;0.0136655;0.0160134
57;171;10648;0.0135688;0.0165433
58;171;10648;0.0134902;0.0171811
59;171;10648;0.0134274;0.0179117
60;171;10648;0.0133809;0.0187099
61;171;10648;0.0133495;0.0195436
62;171;10648;0.0133294;0.0203786
63;171;10648;0.0133188;0.0211827
64;171;10648;0.0133176;0.0219282
65;171;10648;0.0133259;0.0225956
66;171;10648;0.0133411;0.0231729
67;171;10648;0.0133607;0.0236557
68;171;10648;0.0133832;0.0240456
69;171;10648;0.013407;0.0243483
70;171;10648;0.0134313;0.0245708
71;171;10648;0.0134562;0.0247204
72;171;10648;0.0134819;0.0248046
73;171;10648;0.013508;0.0248309
74;171;10648;0.013534;0.024807
75;171;10648;0.0135594;0.02474
76;171;10648;0.013584;0.0246369
77;171;10648;0.0136074;0.0245042
78;171;10648;0.0136295;0.0243477
79;171;10648;0.0136501;0.024173
80;171;10648;0.0136693;0.023985
81;171;10648;0.0136869;0.023788
82;171;10648;0.0137029;0.0235857
83;171;10648;0.0137174;0.0233815
84;171;10648;0.0137305;0.023178
85;171;10648;0.0137421;0.0229776
86;171;10648;0.0137524;0.0227822
87;171;10648;0.0137615;0.0225932
88;171;10648;0.0137694;0.0224118
89;171;10648;0.0137763;0.0222389
90;171;10648;0.0137822;0.0220751
91;171;10648;0.0137872;0.0219208
92;171;10648;0.0137915;0.0217763
93;171;10648;0.013795;0.0216415
94;171;10648;0.0137979;0.0215164
95;171;10648;0.0138003;0.0214008
96;171;10648;0.0138022;0.0212945
97;171;10648;0.0138036;0.0211972
98;171;10648;0.0138047;0.0211084
99;171;10648;0.0138055;0.0210278
100;171;10648;0.013806;0.0209549
101;171;10648;0.0138063;0.0208893
102;171;10648;0.0138064;0.0208304
103;171;10648;0.0138063;0.0207778
104;171;10648;0.0138062;0.0207312
105;171;10648;0.0138059;0.02069
106;171;10648;0.0138056;0.0206537
107;171;10648;0.0138051;0.0206221
108;171;10648;0.0138047;0.0205947
109;171;10648;0.0138043;0.0205711
